Header,Link,Summary,DateTime,Year,Month,Day,Hour,estimated_reading_time_seconds,reading_time_segment
,,"2 או 3 מחבלים מאזור ג'נין פתחו באש מטווח קרוב לעבר שתי מכוניות ואוטובוס בכביש 55, עד שתושב עמנואל שנקלע לזירה ירה לעברם והבריח אותם: ""אם היה לי נשק ארוך הם לא היו בחיים"". 11 נפגעו, מותם של 3 נקבע במקום - מהם שתי נשים וגם השוטר רס""ר אלעד יעקב וינקלשטיין, שבנו היה ברכב. המצוד: באזור שכם",2025-01-06 15:15:52.740619,2025,1,6,15,14.0,Very Long
,,"שמות החטופים נכללו גם במסמך ההבהרות שכפה רה""מ על צוות המו""מ ב-27/7. בכיר ביטחוני: ""עסקה קטנה תהיה יחידה לזמן רב""",2025-01-06 15:15:52.740727,2025,1,6,15,5.0,Short
,,"משפיל עובדים, וורקוהוליק ומציג רעיונות רק על לוח מחיק. שיטות הניהול יוצאות הדופן של ג'נסן הואנג, מנכ""ל אנבידיה",2025-01-06 15:15:52.740815,2025,1,6,15,4.0,Short
,,"ביג גלילות יאכלס מותגים ורשתות מהגדולים בארץ, ומסעדות של השפים יובל בן נריה וישראל אהרוני. אתמול קיבל המתחם טופס 4",2025-01-06 15:15:52.740906,2025,1,6,15,5.0,Short
,,"כשמחצית מהמשתמשים מתלוננים על אי נוחות בעדשות, טכנולוגיה פורצת דרך מציעה פתרונות שלא היו אפשריים עד היום",2025-01-06 15:15:52.741001,2025,1,6,15,4.0,Short
,,,2025-01-06 15:15:52.741086,2025,1,6,15,,
,,,2025-01-06 15:15:52.741107,2025,1,6,15,,
,,,2025-01-06 15:15:52.741180,2025,1,6,15,,
,,,2025-01-06 15:15:52.741246,2025,1,6,15,,
,,,2025-01-06 15:15:52.741328,2025,1,6,15,,
,,,2025-01-06 15:15:52.741401,2025,1,6,15,,
,,,2025-01-06 15:15:52.741501,2025,1,6,15,,
,,,2025-01-06 15:15:52.741578,2025,1,6,15,,
,,,2025-01-06 15:15:52.741637,2025,1,6,15,,
,,,2025-01-06 15:15:52.741707,2025,1,6,15,,
,,,2025-01-06 15:15:52.741764,2025,1,6,15,,
,,,2025-01-06 15:15:52.741833,2025,1,6,15,,
,,,2025-01-06 15:15:52.741890,2025,1,6,15,,
,,,2025-01-06 15:15:52.741959,2025,1,6,15,,
,,,2025-01-06 15:15:52.742027,2025,1,6,15,,
,,,2025-01-06 15:15:52.742104,2025,1,6,15,,
,,,2025-01-06 15:15:52.742161,2025,1,6,15,,
,,,2025-01-06 15:15:52.742214,2025,1,6,15,,
,,,2025-01-06 15:15:52.742267,2025,1,6,15,,
,,,2025-01-06 15:15:52.742321,2025,1,6,15,,
,,,2025-01-06 15:15:52.742374,2025,1,6,15,,
,,,2025-01-06 15:15:52.742428,2025,1,6,15,,
,,,2025-01-06 15:15:52.742498,2025,1,6,15,,
,,,2025-01-06 15:15:52.742567,2025,1,6,15,,
,,,2025-01-06 15:15:52.742625,2025,1,6,15,,
,,,2025-01-06 15:15:52.742681,2025,1,6,15,,
,,,2025-01-06 15:15:52.742738,2025,1,6,15,,
